Timestamp;Username;Navn;Afdeling;PCNavn;OS;Producent;Model1;Model2;S/N;PC-AD-Status
07/10/20 07:42;N1M258;Tori Carson;AFR Sekretariat;PC5003304;Windows 10;LENOVO;20L6SAS100;ThinkPad T480;PF1470H6;Aktiv
07/10/20 06:51;N1M259;Jaslene Wang;AFR Drift;PC5003305;Windows 10;LENOVO;20NYS1JA00;ThinkPad T490s;PC1D0V2P;Aktiv
01/10/20 09:21;N1M220;Rhys Robertson;AFR Sekretariat;PC5003306;Windows 10;LENOVO;20NYS1JA00;ThinkPad T490s;PC1D0V2R;Aktiv
23/09/20 09:16;N1M220;Rhys Robertson;AFR Sekretariat;PC5003307;Windows 10;LENOVO;20NYS1JA00;ThinkPad T490s;PC1D2B02;Aktiv
07/10/20 02:48;N1M260;Corbin Montes;"AFR Drift, Genbrug og Sortering";PC5003308;Windows 10;LENOVO;20NYS1JA00;ThinkPad T490s;PC1D0V2S;Aktiv
07/10/20 09:06;#I/T;#I/T;"AFR Drift, Genbrug og Sortering";PC5003309;Windows 10;LENOVO;20NYS1JA00;ThinkPad T490s;PC1D0V2Q;Aktiv
07/10/20 10:17;#I/T;#I/T;"AFR Drift, Genbrug og Sortering";PC5003310;Windows 10;LENOVO;20NYS1JA00;ThinkPad T490s;PC1D0V2M;Aktiv
06/10/20 19:12;N1M263;Braylen Cherry;"AFR Drift, Genbrug og Sortering";PC5003311;Windows 10;LENOVO;20NYS1JA00;ThinkPad T490s;PC1D25VZ;Aktiv
06/10/20 19:00;N1M264;Kadin Booth;AFR Drift;PC5003312;Windows 10;LENOVO;20N3S75V00;ThinkPad T490;PF21ZB9K;Aktiv
06/10/20 17:12;N1M265;Rowan Aguirre;"AFR Drift, Genbrug og Sortering";PC5003313;Windows 10;LENOVO;20N3S75V00;ThinkPad T490;PF21ZBC8;Aktiv
06/10/20 10:25;N1M266;Kimora Pittman;AFR Projekt og Udvikling;PC5003315;Windows 10;LENOVO;20NYS1JA00;ThinkPad T490s;PC1K8SPG;Aktiv
07/10/20 07:42;N1M267;Trace Brooks;AFR Sekretariat;PC5003316;Windows 10;LENOVO;20NYS1JA00;ThinkPad T490s;PC1KHCJE;Aktiv
